kodeKECAMATAN,kodeKABUPATEN,namaKECAMATAN,aktifYN
1101010,1101,TEUPAH SELATAN,TRUE
1101020,1101,SIMEULUE TIMUR,TRUE
1101021,1101,TEUPAH BARAT,TRUE
1101022,1101,TEUPAH TENGAH,TRUE
1101030,1101,SIMEULUE TENGAH,TRUE
1101031,1101,TELUK DALAM,TRUE
1101032,1101,SIMEULUE CUT,TRUE
1101040,1101,SALANG,TRUE
1101050,1101,SIMEULUE BARAT,TRUE
1101051,1101,ALAFAN,TRUE
1102010,1102,PULAU BANYAK,TRUE
1102011,1102,PULAU BANYAK BARAT,TRUE
1102020,1102,SINGKIL,TRUE
1102021,1102,SINGKIL UTARA,TRUE
1102022,1102,KUALA BARU,TRUE
1102030,1102,SIMPANG KANAN,TRUE
1102031,1102,GUNUNG MERIAH,TRUE
1102032,1102,DANAU PARIS,TRUE
1102033,1102,SURO,TRUE
1102042,1102,SINGKOHOR,TRUE
1102043,1102,KOTA BAHARU,TRUE
1103010,1103,TRUMON,TRUE
1103011,1103,TRUMON TIMUR,TRUE
1103012,1103,TRUMON TENGAH,TRUE
1103020,1103,BAKONGAN,TRUE
1103021,1103,BAKONGAN TIMUR,TRUE
1103022,1103,KOTA BAHAGIA,TRUE
1103030,1103,KLUET SELATAN,TRUE
1103031,1103,KLUET TIMUR,TRUE
1103040,1103,KLUET UTARA,TRUE
1103041,1103,PASIE RAJA,TRUE
1103042,1103,KLUET TENGAH,TRUE
1103050,1103,TAPAK TUAN,TRUE
1103060,1103,SAMA DUA,TRUE
1103070,1103,SAWANG,TRUE
1103080,1103,MEUKEK,TRUE
1103090,1103,LABUHAN HAJI,TRUE
1103091,1103,LABUHAN HAJI TIMUR,TRUE
1103092,1103,LABUHAN HAJI BARAT,TRUE
1104010,1104,LAWE ALAS,TRUE
1104011,1104,BABUL RAHMAH,TRUE
1104012,1104,TANOH ALAS,TRUE
1104020,1104,LAWE SIGALA-GALA,TRUE
1104021,1104,BABUL MAKMUR,TRUE
1104022,1104,SEMADAM,TRUE
1104023,1104,LAUSER,TRUE
1104030,1104,BAMBEL,TRUE
1104031,1104,BUKIT TUSAM,TRUE
1104032,1104,LAWE SUMUR,TRUE
1104040,1104,BABUSSALAM,TRUE
1104041,1104,LAWE BULAN,TRUE
1104050,1104,BADAR,TRUE
1104051,1104,DARUL HASANAH,TRUE
1104052,1104,KETAMBE,TRUE
1104053,1104,DELENG POKHKISEN,TRUE
1105080,1105,SERBA JADI,TRUE
1105081,1105,SIMPANG JERNIH,TRUE
1105082,1105,PEUNARON,TRUE
1105090,1105,BIREM BAYEUN,TRUE
1105100,1105,RANTAU SELAMAT,TRUE
1105101,1105,SUNGAI RAYA,TRUE
1105110,1105,PEUREULAK,TRUE
1105111,1105,PEUREULAK TIMUR,TRUE
1105112,1105,PEUREULAK BARAT,TRUE
1105120,1105,RANTO PEUREULAK,TRUE
1105130,1105,IDI RAYEUK,TRUE
1105131,1105,PEUDAWA,TRUE
1105132,1105,BANDA ALAM,TRUE
1105133,1105,IDI TUNONG,TRUE
1105134,1105,DARUL IHSAN,TRUE
1105135,1105,IDI TIMUR,TRUE
1105140,1105,DARUL AMAN,TRUE
1105150,1105,NURUSSALAM,TRUE
1105151,1105,DARUL FALAH,TRUE
1105160,1105,JULOK,TRUE
1105161,1105,INDRA MAKMUR,TRUE
1105170,1105,PANTE BIDARI,TRUE
1105180,1105,SIMPANG ULIM,TRUE
1105181,1105,MADAT,TRUE
1106010,1106,LINGE,TRUE
1106011,1106,ATU LINTANG,TRUE
1106012,1106,JAGONG JEGET,TRUE
1106020,1106,BINTANG,TRUE
1106031,1106,LUT TAWAR,TRUE
1106032,1106,KEBAYAKAN,TRUE
1106040,1106,PEGASING,TRUE
1106041,1106,BIES,TRUE
1106050,1106,BEBESEN,TRUE
1106051,1106,KUTE PANANG,TRUE
1106060,1106,SILIH NARA,TRUE
1106061,1106,KETOL,TRUE
1106062,1106,CELALA,TRUE
1106063,1106,RUSIP ANTARA,TRUE
1107050,1107,JOHAN PAHLAWAN,TRUE
1107060,1107,SAMATIGA,TRUE
1107061,1107,BUBON,TRUE
1107062,1107,ARONGAN LAMBALEK,TRUE
1107070,1107,WOYLA,TRUE
1107071,1107,WOYLA BARAT,TRUE
1107072,1107,WOYLA TIMUR,TRUE
1107080,1107,KAWAY XVI,TRUE
1107081,1107,MEUREUBO,TRUE
1107082,1107,PANTAI CEUREMEN,TRUE
1107083,1107,PANTON REU,TRUE
1107090,1107,SUNGAI MAS,TRUE
1108010,1108,LHOONG,TRUE
1108020,1108,LHOKNGA,TRUE
1108021,1108,LEUPUNG,TRUE
1108030,1108,INDRAPURI,TRUE
1108031,1108,KUTA COT GLIE,TRUE
1108040,1108,SEULIMEUM,TRUE
1108041,1108,KOTA JANTHO,TRUE
1108042,1108,LEMBAH SEULAWAH,TRUE
1108050,1108,MESJID RAYA,TRUE
1108060,1108,DARUSSALAM,TRUE
1108061,1108,BAITUSSALAM,TRUE
1108070,1108,KUTA BARO,TRUE
1108080,1108,MONTASIK,TRUE
1108081,1108,BLANG BINTANG,TRUE
1108090,1108,INGIN JAYA,TRUE
1108091,1108,KRUENG BARONA JAYA,TRUE
1108100,1108,SUKA MAKMUR,TRUE
1108101,1108,KUTA MALAKA,TRUE
1108102,1108,SIMPANG TIGA,TRUE
1108110,1108,DARUL IMARAH,TRUE
1108111,1108,DARUL KAMAL,TRUE
1108120,1108,PEUKAN BADA,TRUE
1108130,1108,PULO ACEH,TRUE
1109010,1109,GEUMPANG,TRUE
1109011,1109,MANE,TRUE
1109070,1109,GLUMPANG TIGA,TRUE
1109071,1109,GLUMPANG BARO,TRUE
1109080,1109,MUTIARA,TRUE
1109081,1109,MUTIARA TIMUR,TRUE
1109090,1109,TIRO/TRUSEB,TRUE
1109100,1109,TANGSE,TRUE
1109111,1109,KEUMALA,TRUE
1109112,1109,TITEUE,TRUE
1109120,1109,SAKTI,TRUE
1109130,1109,MILA,TRUE
1109140,1109,PADANG TIJI,TRUE
1109150,1109,DELIMA,TRUE
1109151,1109,GRONG GRONG,TRUE
1109160,1109,INDRAJAYA,TRUE
1109170,1109,PEUKAN BARO,TRUE
1109180,1109,KEMBANG TANJONG,TRUE
1109190,1109,SIMPANG TIGA,TRUE
1109200,1109,KOTA SIGLI,TRUE
1109210,1109,PIDIE,TRUE
1109220,1109,BATEE,TRUE
1109230,1109,MUARA TIGA,TRUE
1110010,1110,SAMALANGA,TRUE
1110011,1110,SIMPANG MAMPLAM,TRUE
1110020,1110,PANDRAH,TRUE
1110030,1110,JEUNIEB,TRUE
1110031,1110,PEULIMBANG,TRUE
1110040,1110,PEUDADA,TRUE
1110050,1110,JULI,TRUE
1110060,1110,JEUMPA,TRUE
1110061,1110,KOTA JUANG,TRUE
1110062,1110,KUALA,TRUE
1110070,1110,JANGKA,TRUE
1110080,1110,PEUSANGAN,TRUE
1110081,1110,PEUSANGAN SELATAN,TRUE
1110082,1110,PEUSANGAN SIBLAH KRUENG,TRUE
1110090,1110,MAKMUR,TRUE
1110100,1110,GANDA PURA,TRUE
1110101,1110,KUTA BLANG,TRUE
1111010,1111,SAWANG,TRUE
1111020,1111,NISAM,TRUE
1111021,1111,NISAM ANTARA,TRUE
1111022,1111,BANDA BARO,TRUE
1111030,1111,KUTA MAKMUR,TRUE
1111031,1111,SIMPANG KERAMAT,TRUE
1111040,1111,SYAMTALIRA BAYU,TRUE
1111041,1111,GEUREUDONG PASE,TRUE
1111050,1111,MEURAH MULIA,TRUE
1111060,1111,MATANGKULI,TRUE
1111061,1111,PAYA BAKONG,TRUE
1111062,1111,PIRAK TIMU,TRUE
1111070,1111,COT GIREK,TRUE
1111080,1111,TANAH JAMBO AYE,TRUE
1111081,1111,LANGKAHAN,TRUE
1111090,1111,SEUNUDDON,TRUE
1111100,1111,BAKTIYA,TRUE
1111101,1111,BAKTIYA BARAT,TRUE
1111110,1111,LHOKSUKON,TRUE
1111120,1111,TANAH LUAS,TRUE
1111121,1111,NIBONG,TRUE
1111130,1111,SAMUDERA,TRUE
1111140,1111,SYAMTALIRA ARON,TRUE
1111150,1111,TANAH PASIR,TRUE
1111151,1111,LAPANG,TRUE
1111160,1111,MUARA BATU,TRUE
1111170,1111,DEWANTARA,TRUE
1112010,1112,MANGGENG,TRUE
1112011,1112,LEMBAH SABIL,TRUE
1112020,1112,TANGAN-TANGAN,TRUE
1112021,1112,SETIA,TRUE
1112030,1112,BLANG PIDIE,TRUE
1112031,1112,JEUMPA,TRUE
1112040,1112,SUSOH,TRUE
1112050,1112,KUALA BATEE,TRUE
1112060,1112,BABAH ROT,TRUE
1113010,1113,KUTA PANJANG,TRUE
1113011,1113,BLANG JERANGO,TRUE
1113020,1113,BLANGKEJEREN,TRUE
1113021,1113,PUTRI BETUNG,TRUE
1113022,1113,DABUN GELANG,TRUE
1113023,1113,BLANG PEGAYON,TRUE
1113030,1113,PINING,TRUE
1113040,1113,RIKIT GAIB,TRUE
1113041,1113,PANTAN CUACA,TRUE
1113050,1113,TERANGUN,TRUE
1113051,1113,TRIPE JAYA,TRUE
1114010,1114,TAMIANG HULU,TRUE
1114011,1114,BANDAR PUSAKA,TRUE
1114020,1114,KEJURUAN MUDA,TRUE
1114021,1114,TENGGULUN,TRUE
1114030,1114,RANTAU,TRUE
1114040,1114,KOTA KUALA SIMPANG,TRUE
1114050,1114,SERUWAY,TRUE
1114060,1114,BENDAHARA,TRUE
1114061,1114,BANDA MULIA,TRUE
1114070,1114,KARANG BARU,TRUE
1114071,1114,SEKERAK,TRUE
1114080,1114,MANYAK PAYED,TRUE
1115010,1115,DARUL MAKMUR,TRUE
1115011,1115,TRIPA MAKMUR,TRUE
1115020,1115,KUALA,TRUE
1115021,1115,KUALA PESISIR,TRUE
1115022,1115,TADU RAYA,TRUE
1115030,1115,BEUTONG,TRUE
1115031,1115,BEUTONG ATEUH BANGGALANG,TRUE
1115040,1115,SEUNAGAN,TRUE
