kodePROVINSI,namaPROVINSI,kodeNEGARA,namaNEGARA,aktifYN
11,ACEH,ID,INDONESIA,TRUE
12,SUMATERA UTARA,ID,INDONESIA,TRUE
13,SUMATERA BARAT,ID,INDONESIA,TRUE
14,RIAU,ID,INDONESIA,TRUE
15,JAMBI,ID,INDONESIA,TRUE
16,SUMATERA SELATAN,ID,INDONESIA,TRUE
17,BENGKULU,ID,INDONESIA,TRUE
18,LAMPUNG,ID,INDONESIA,TRUE
19,KEPULAUAN BANGKA BELITUNG,ID,INDONESIA,TRUE
21,KEPULAUAN RIAU,ID,INDONESIA,TRUE
31,DKI JAKARTA,ID,INDONESIA,TRUE
32,JAWA BARAT,ID,INDONESIA,TRUE
33,JAWA TENGAH,ID,INDONESIA,TRUE
34,DI YOGYAKARTA,ID,INDONESIA,TRUE
35,JAWA TIMUR,ID,INDONESIA,TRUE
36,BANTEN,ID,INDONESIA,TRUE
51,BALI,ID,INDONESIA,TRUE
52,NUSA TENGGARA BARAT,ID,INDONESIA,TRUE
53,NUSA TENGGARA TIMUR,ID,INDONESIA,TRUE
61,KALIMANTAN BARAT,ID,INDONESIA,TRUE
62,KALIMANTAN TENGAH,ID,INDONESIA,TRUE
63,KALIMANTAN SELATAN,ID,INDONESIA,TRUE
64,KALIMANTAN TIMUR,ID,INDONESIA,TRUE
65,KALIMANTAN UTARA,ID,INDONESIA,TRUE
71,SULAWESI UTARA,ID,INDONESIA,TRUE
72,SULAWESI TENGAH,ID,INDONESIA,TRUE
73,SULAWESI SELATAN,ID,INDONESIA,TRUE
74,SULAWESI TENGGARA,ID,INDONESIA,TRUE
75,GORONTALO,ID,INDONESIA,TRUE
76,SULAWESI BARAT,ID,INDONESIA,TRUE
81,MALUKU,ID,INDONESIA,TRUE
82,MALUKU UTARA,ID,INDONESIA,TRUE
91,PAPUA BARAT,ID,INDONESIA,TRUE
94,PAPUA,ID,INDONESIA,TRUE
