kodeKABUPATEN,kodePROVINSI,namaKABUPATEN,aktifYN
1101,11,KABUPATEN SIMEULUE,TRUE
1102,11,KABUPATEN ACEH SINGKIL,TRUE
1103,11,KABUPATEN ACEH SELATAN,TRUE
1104,11,KABUPATEN ACEH TENGGARA,TRUE
1105,11,KABUPATEN ACEH TIMUR,TRUE
1106,11,KABUPATEN ACEH TENGAH,TRUE
1107,11,KABUPATEN ACEH BARAT,TRUE
1108,11,KABUPATEN ACEH BESAR,TRUE
1109,11,KABUPATEN PIDIE,TRUE
1110,11,KABUPATEN BIREUEN,TRUE
1111,11,KABUPATEN ACEH UTARA,TRUE
1112,11,KABUPATEN ACEH BARAT DAYA,TRUE
1113,11,KABUPATEN GAYO LUES,TRUE
1114,11,KABUPATEN ACEH TAMIANG,TRUE
1115,11,KABUPATEN NAGAN RAYA,TRUE
1116,11,KABUPATEN ACEH JAYA,TRUE
1117,11,KABUPATEN BENER MERIAH,TRUE
1118,11,KABUPATEN PIDIE JAYA,TRUE
1171,11,KOTA BANDA ACEH,TRUE
1172,11,KOTA SABANG,TRUE
1173,11,KOTA LANGSA,TRUE
1174,11,KOTA LHOKSEUMAWE,TRUE
1175,11,KOTA SUBULUSSALAM,TRUE
1201,12,KABUPATEN NIAS,TRUE
1202,12,KABUPATEN MANDAILING NATAL,TRUE
1203,12,KABUPATEN TAPANULI SELATAN,TRUE
1204,12,KABUPATEN TAPANULI TENGAH,TRUE
1205,12,KABUPATEN TAPANULI UTARA,TRUE
1206,12,KABUPATEN TOBA SAMOSIR,TRUE
1207,12,KABUPATEN LABUHAN BATU,TRUE
1208,12,KABUPATEN ASAHAN,TRUE
1209,12,KABUPATEN SIMALUNGUN,TRUE
1210,12,KABUPATEN DAIRI,TRUE
1211,12,KABUPATEN KARO,TRUE
1212,12,KABUPATEN DELI SERDANG,TRUE
1213,12,KABUPATEN LANGKAT,TRUE
1214,12,KABUPATEN NIAS SELATAN,TRUE
1215,12,KABUPATEN HUMBANG HASUNDUTAN,TRUE
1216,12,KABUPATEN PAKPAK BHARAT,TRUE
1217,12,KABUPATEN SAMOSIR,TRUE
1218,12,KABUPATEN SERDANG BEDAGAI,TRUE
1219,12,KABUPATEN BATU BARA,TRUE
1220,12,KABUPATEN PADANG LAWAS UTARA,TRUE
1221,12,KABUPATEN PADANG LAWAS,TRUE
1222,12,KABUPATEN LABUHAN BATU SELATAN,TRUE
1223,12,KABUPATEN LABUHAN BATU UTARA,TRUE
1224,12,KABUPATEN NIAS UTARA,TRUE
1225,12,KABUPATEN NIAS BARAT,TRUE
1271,12,KOTA SIBOLGA,TRUE
1272,12,KOTA TANJUNG BALAI,TRUE
1273,12,KOTA PEMATANG SIANTAR,TRUE
1274,12,KOTA TEBING TINGGI,TRUE
1275,12,KOTA MEDAN,TRUE
1276,12,KOTA BINJAI,TRUE
1277,12,KOTA PADANGSIDIMPUAN,TRUE
1278,12,KOTA GUNUNGSITOLI,TRUE
1301,13,KABUPATEN KEPULAUAN MENTAWAI,TRUE
1302,13,KABUPATEN PESISIR SELATAN,TRUE
1303,13,KABUPATEN SOLOK,TRUE
1304,13,KABUPATEN SIJUNJUNG,TRUE
1305,13,KABUPATEN TANAH DATAR,TRUE
1306,13,KABUPATEN PADANG PARIAMAN,TRUE
1307,13,KABUPATEN AGAM,TRUE
1308,13,KABUPATEN LIMA PULUH KOTA,TRUE
1309,13,KABUPATEN PASAMAN,TRUE
1310,13,KABUPATEN SOLOK SELATAN,TRUE
1311,13,KABUPATEN DHARMASRAYA,TRUE
1312,13,KABUPATEN PASAMAN BARAT,TRUE
1371,13,KOTA PADANG,TRUE
1372,13,KOTA SOLOK,TRUE
1373,13,KOTA SAWAH LUNTO,TRUE
1374,13,KOTA PADANG PANJANG,TRUE
1375,13,KOTA BUKITTINGGI,TRUE
1376,13,KOTA PAYAKUMBUH,TRUE
1377,13,KOTA PARIAMAN,TRUE
1401,14,KABUPATEN KUANTAN SINGINGI,TRUE
1402,14,KABUPATEN INDRAGIRI HULU,TRUE
1403,14,KABUPATEN INDRAGIRI HILIR,TRUE
