kodeKELURAHAN,kodeKECAMATAN,namaKELURAHAN,aktifYN
1101010001,1101010,LATIUNG,TRUE
1101010002,1101010,LABUHAN BAJAU,TRUE
1101010003,1101010,SUAK LAMATAN,TRUE
1101010004,1101010,ANA AO,TRUE
1101010005,1101010,LATALING,TRUE
1101010006,1101010,PULAU BENGKALAK,TRUE
1101010007,1101010,BADEGONG,TRUE
1101010008,1101010,KEBUN BARU,TRUE
1101010009,1101010,ULUL MAYANG,TRUE
1101010010,1101010,PASIR TINGGI,TRUE
1101010011,1101010,LABUHAN JAYA,TRUE
1101010012,1101010,LABUHAN BAKTI,TRUE
1101010013,1101010,BATU RALANG,TRUE
1101010014,1101010,ALUS ALUS,TRUE
1101010015,1101010,SEUNEUBOK,TRUE
1101010016,1101010,BLANG SEBEL,TRUE
1101010017,1101010,TRANS BARU,TRUE
1101010018,1101010,TRANS MERANTI,TRUE
1101010019,1101010,TRANS JERNGE,TRUE
1101020022,1101020,AIR PINANG,TRUE
1101020023,1101020,KUALA MAKMUR,TRUE
1101020024,1101020,GANTING,TRUE
1101020025,1101020,LINGGI,TRUE
1101020026,1101020,LUGU,TRUE
1101020027,1101020,SINABANG,TRUE
1101020028,1101020,SUKA MAJU,TRUE
1101020029,1101020,SUKA KARYA,TRUE
1101020030,1101020,SUKA JAYA,TRUE
1101020031,1101020,AIR DINGIN,TRUE
1101020032,1101020,KOTA BATU,TRUE
1101020035,1101020,SUAK BULUH,TRUE
1101020036,1101020,UJUNG TINGGI,TRUE
1101020037,1101020,PULAU SIUMAT,TRUE
1101020038,1101020,SEFOYAN,TRUE
1101020039,1101020,AMAITENG MULIA,TRUE
1101020040,1101020,AMERIA BAHAGIA,TRUE
1101021001,1101021,SITAL,TRUE
1101021002,1101021,LEUBANG,TRUE
1101021003,1101021,LEUBANG HULU,TRUE
1101021004,1101021,AWE SEUBAL,TRUE
1101021005,1101021,LANTIK,TRUE
1101021006,1101021,AWE KECIL,TRUE
1101021007,1101021,SALUR,TRUE
1101021008,1101021,SALUR LATUN,TRUE
1101021009,1101021,SALUR LASENGALU,TRUE
1101021010,1101021,NANCALA,TRUE
1101021011,1101021,MAUDIL,TRUE
1101021012,1101021,INOR,TRUE
1101021013,1101021,NAIBOS,TRUE
1101021014,1101021,LAAYON,TRUE
1101021015,1101021,ANGKEO,TRUE
1101021016,1101021,BUNON,TRUE
1101021017,1101021,SILENGAS,TRUE
1101021018,1101021,PULAU TEUPAH,TRUE
1101022001,1101022,KAHAT,TRUE
1101022002,1101022,BUSUNG INDAH,TRUE
1101022003,1101022,NANCAWA,TRUE
1101022004,1101022,LABUAH,TRUE
1101022005,1101022,ABAIL,TRUE
1101022006,1101022,SIMPANG ABAIL,TRUE
1101022007,1101022,LANTING,TRUE
1101022008,1101022,LASIKIN,TRUE
1101022009,1101022,MATANURUNG,TRUE
1101022010,1101022,SUA SUA,TRUE
1101022011,1101022,BATU BATU,TRUE
1101022012,1101022,SITUBUK,TRUE
1101030001,1101030,DIHIT,TRUE
1101030002,1101030,LAUKE,TRUE
1101030003,1101030,LAMBAYA,TRUE
1101030004,1101030,LAKUBANG,TRUE
1101030005,1101030,KAMPUNG AIE,TRUE
1101030006,1101030,LAUREE,TRUE
1101030007,1101030,LATITIK,TRUE
1101030008,1101030,LAMAYANG,TRUE
1101030009,1101030,WEL WEL,TRUE
1101030020,1101030,SITUFA JAYA,TRUE
1101030021,1101030,PUTRA JAYA,TRUE
1101030022,1101030,LUAN SORIP,TRUE
1101030023,1101030,SUAK BARU,TRUE
1101030024,1101030,SEBBE,TRUE
1101030025,1101030,KUTA BARU,TRUE
1101030026,1101030,WEL LANGKOM,TRUE
1101031001,1101031,KUALA BAKTI,TRUE
1101031002,1101031,LUGU SEBAHAK,TRUE
1101031003,1101031,GUNUNG PUTIH,TRUE
1101031004,1101031,BABUSSALAM,TRUE
1101031005,1101031,MUARA AMAN,TRUE
1101031006,1101031,LUAN BALU,TRUE
1101031007,1101031,SAMBAI,TRUE
1101031008,1101031,KUALA BARU,TRUE
1101031009,1101031,TANJUNG RAYA,TRUE
1101031010,1101031,BULU HADIK,TRUE
1101032001,1101032,BUBUHAN,TRUE
